"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2013_10","12","","","","402","6","1614","2","","9","","","","","1025","85","","4","","","","233","387","5","214","3","8","","679","21","","","444","8","","","83","","","","","187","","","","","903","14","315","7","","","","","376","131","114","42","386","297","129","59","518","8722"
"2013_11","8","","","","333","11","1334","1","","2","","","","","1092","50","","2","","","","191","362","1","290","6","10","","698","13","","","424","13","","","61","","","","","228","","","","","624","31","139","26","","","","","317","121","89","19","297","252","69","46","360","7520"
"2013_12","16","","","","357","10","931","25","","9","","","","","1099","62","","4","","","","186","293","0","280","1","16","","1320","14","","","275","8","","","39","","","","","315","","","","","542","5","148","11","","","","","196","124","87","32","312","247","94","46","280","7384"
"2014_01","24","","","","384","7","1563","0","","1","","","","","1194","47","","8","","","","252","385","1","381","3","16","","1099","21","","","437","16","","","69","","","","","267","","","","","702","12","164","4","","","","","379","103","101","97","308","295","108","56","398","8902"
"2014_02","14","","","","431","7","1206","3","","8","","","","","968","20","","1","","","","267","424","2","338","3","7","","1057","18","","","567","14","","","39","","","","","248","","","","","681","14","250","7","","","","","298","117","233","48","344","249","113","44","386","8426"
"2014_03","17","","","","411","5","1721","5","","3","","","","","1083","36","","2","","","","230","552","5","256","6","9","","908","21","","","260","10","","","78","","","","","239","","","","","897","8","385","6","","","","","398","131","222","44","358","283","119","53","369","9130"
"2014_04","17","","","310","","6","1443","10","","6","","","","","1135","65","","5","","","","280","577","1","211","7","27","","807","24","","","438","17","","","59","","","","","263","","","","","729","130","217","4","","","","","306","98","198","24","298","304","113","52","336","8517"
"2014_05","28","","","229","","10","2112","1","","9","","","","","2130","83","","2","","","","223","658","3","154","4","24","","1949","19","","","841","39","","","58","","","","","605","","","","","985","28","664","24","","","","","312","91","122","31","281","365","110","64","644","12902"
"2014_06","13","","","246","","9","1347","5","","4","","","","","1600","169","","10","","","","238","479","1","128","0","19","","1188","44","","","380","45","","","77","","","","","411","","","","","767","9","298","15","","","","","216","131","87","35","274","354","116","60","526","9301"
"2014_07","8","","","247","","16","1254","2","","18","","","","","1430","104","","2","","","","219","776","6","125","1","20","","1249","28","","","461","37","","","119","","","","","287","","","","","634","8","306","12","","","","","230","92","83","32","300","299","89","73","609","9176"
"2014_08","16","","","176","","9","1187","0","","13","","","","","1121","109","","5","","","","188","1000","7","102","1","16","","796","11","","","487","29","","","210","","","","","274","","","","","624","3","609","8","","","","","232","54","78","9","252","243","84","20","664","8637"
"2014_09","20","","","244","","19","1142","0","","5","","","","","1407","63","","1","","","","174","702","2","158","5","28","","1146","26","","","477","17","","","83","","","","","275","","","","","725","207","263","19","","","","","283","76","121","30","285","284","90","51","533","8961"
"2014_10","20","","","295","","7","1160","2","","9","","","","","1647","83","","11","","","","163","872","1","205","3","20","","1173","30","","","593","19","","","99","","","","","296","","","","","589","265","401","12","","","","","596","86","86","25","288","334","89","87","385","9951"
"2014_11","26","","","250","","11","870","0","","2","","","","","1578","40","","2","","","","202","562","4","224","4","29","","874","34","","","462","23","","","40","","","","","277","","","","","488","11","660","11","","","","","538","76","127","21","272","305","88","52","337","8500"
"2014_12","13","","","79","","5","551","0","","2","283","766","","","","22","","3","","","","78","","3","114","0","18","","796","9","","","320","22","","","39","","","","","145","","","","","319","14","276","3","","","","","227","49","73","17","150","149","42","23","182","4792"
"2015_01","11","","","169","","5","685","0","","3","490","1295","","","","26","","7","","","","200","","0","227","3","2","","975","22","","","398","10","","","27","","","","","152","","","","","339","13","404","7","","","","","283","70","153","14","185","229","48","30","234","6716"
"2015_02","14","","","204","","14","949","1","","3","532","1561","","","","36","","9","","","","265","","0","182","1","6","","1190","16","","","591","14","","","44","","","","","147","","","","","363","7","356","7","","","","","325","84","112","26","209","271","71","51","348","8009"
"2015_03","16","","","137","","9","1109","4","","3","579","1625","","","","38","","7","","","","233","","1","129","0","19","","1244","24","","","391","24","","","30","","","","","134","","","","","472","14","363","5","","","","","407","75","70","17","232","307","110","39","349","8216"
"2015_04","10","","","123","","31","1097","2","","1","653","1705","","","","89","","4","","","","153","","2","89","3","21","","1381","16","","","565","28","","","41","","","","","124","","","","","552","202","607","13","","","","","280","106","63","19","222","332","80","55","368","9037"
"2015_05","8","","","103","","9","1503","2","","1","643","1722","","","","107","","3","","","","137","","2","66","0","10","","1687","22","","","475","25","","","41","","","","","101","","","","","848","11","478","12","","","","","139","75","55","22","199","331","84","38","571","9530"
"2015_06","10","","","76","","3","891","0","","2","1226","1450","","","","226","","5","","","","137","","3","44","0","10","","1199","32","","","960","20","","","219","","","","","118","","","","","540","10","433","2","","","","","123","113","65","29","174","283","67","45","575","9090"
"2015_07","8","","","86","","7","1080","2","","1","684","1474","","","","93","","3","","","","147","","0","73","1","16","","1518","43","","","495","19","","","62","","","","","130","","","","","432","7","405","5","","","","","134","81","55","28","196","290","53","67","413","8108"
"2015_08","7","","","70","","8","1004","4","","1","835","1670","","","","201","","1","","","","141","","3","57","2","9","","1467","45","","","564","35","","","94","","","","","177","","","","","519","3","497","6","","","","","149","70","59","24","254","323","69","54","451","8873"
"2015_09","16","","","75","","8","1238","1","","0","796","1645","","","","150","","4","","","","121","","2","61","3","23","","1326","40","","","461","24","","","57","","","","","84","","","","","621","82","455","5","","","","","143","70","46","26","192","293","79","40","552","8739"
"2015_10","10","","","73","","9","1004","5","","4","716","1567","","","","51","","5","","","","98","","2","93","10","30","","1528","29","","","582","19","","","61","","","","","131","","","","","563","30","474","5","","","","","201","97","46","21","229","301","78","26","458","8556"
"2015_11","18","","","65","","17","767","8","","0","571","1405","","","","55","","4","","","","89","","1","63","0","16","","1193","26","","","608","10","","","39","","","","","83","","","","","322","10","1030","2","","","","","133","61","35","13","167","247","71","22","385","7536"
"2015_12","11","","","84","","8","680","15","","1","777","1696","","","","70","","1","","","","87","","3","75","4","32","","1117","30","","","517","19","","","55","","","","","161","","","","","308","11","258","7","","","","","176","79","51","23","164","276","72","31","329","7228"
"2016_01","21","","","126","","27","622","15","","0","635","1762","","","","36","","2","","","","104","","3","129","3","12","","1229","75","","","466","14","","","39","","","","","178","","","","","328","118","297","3","","","","","604","73","51","39","159","275","73","29","306","7853"
"2016_02","18","","","111","","23","868","2","","0","741","2071","","","","68","","1","","","","117","","3","113","1","17","","1507","114","","","717","13","","","36","","","","","195","","","","","389","31","286","4","","","","","553","50","58","42","187","298","74","37","391","9136"
"2016_03","19","","","91","","17","943","4","","1","769","1903","","","","101","","2","","","","97","","3","102","5","27","","1627","99","","","442","18","","","52","","","","","178","","","","","467","21","347","2","","","","","361","46","43","43","202","329","105","29","366","8861"
"2016_04","9","","","84","","16","872","1","","2","628","1756","","","","116","","0","","","","103","","3","69","0","15","","1749","79","","","478","6","","","32","","","","","151","","","","","363","136","365","6","","","","","270","48","30","29","175","313","90","43","383","8420"
"2016_05","13","","","117","","23","1000","1","","0","690","2025","","","","154","","2","","","","116","","3","84","8","31","","1754","62","","","468","12","","25","39","","","","","172","","","","","744","29","500","9","","","","","191","28","45","29","164","318","105","47","480","9488"
"2016_06","10","","","79","","16","908","15","","3","897","1929","","","","153","","0","","","","88","","2","58","0","28","","1626","34","","","755","14","","35","40","","","","","128","","","","","753","20","454","7","","","","","160","21","35","34","164","322","90","31","425","9334"
"2016_07","8","","","58","","1","635","1","","5","738","1393","","","","203","","0","","","","73","","2","44","15","30","","1645","26","","","647","3","","40","51","","","","","119","","","","","394","9","325","4","","","","","272","32","40","34","141","283","69","33","419","7792"
"2016_08","14","","","88","","6","832","1","","0","949","2163","","","","189","","1","","","","115","","2","60","13","24","","1800","37","","","583","11","","50","29","","","","","221","","","","","542","0","599","5","","","","","251","12","49","27","142","372","79","26","564","9856"
"2016_09","10","","","82","","11","844","0","","1","787","2155","","","","166","","1","","","","92","","1","53","4","25","","1691","25","","","537","7","","38","46","","","","","211","","","","","452","153","568","11","","","","","180","36","34","31","148","307","61","49","501","9318"
"2016_10","13","","","102","","4","1222","1","","0","790","2394","","","","98","","1","","","","92","","2","72","2","33","","1687","24","","","579","8","","53","17","","","","","179","","","","","517","22","1317","1","","","","","257","36","46","25","129","376","80","20","552","10751"
"2016_11","21","","","85","","3","667","3","","0","772","2066","","","","52","","2","","","","96","","0","77","7","6","","1505","21","","","1051","12","","26","23","","","","","180","","","","","291","21","686","11","","","","","256","30","42","15","132","295","55","17","377","8903"
"2016_12","12","","","80","","6","553","1","","0","889","2239","","","","98","","1","","","","99","","3","60","11","25","","1618","32","","","593","6","","122","26","","","","","156","","","","","317","13","422","1","","","","","238","18","50","15","165","308","66","27","363","8633"
"2017_01","18","","","100","","3","642","1","","0","779","2220","","","","84","","4","","","","119","","4","84","8","13","","1695","31","","","951","12","","51","14","","","","","139","","","","","375","16","720","4","","","","","463","29","66","53","148","313","59","25","347","9590"
"2017_02","12","","","70","","4","953","4","","0","826","2013","","","","82","","3","","","","124","","3","51","6","8","","1755","27","","","667","16","","66","17","","","","","211","","","","","413","14","701","5","","","","","352","13","51","34","116","294","53","25","500","9489"
"2017_03","18","","","75","","5","916","0","","0","1091","2005","","","","150","","5","","","","112","","1","81","3","7","","2022","32","5","","913","17","","62","27","","","","","190","","","","","526","29","976","5","","","","","540","22","48","25","145","332","62","27","434","10908"
"2017_04","10","","","72","","0","818","0","","3","781","2131","","","","169","","1","","","","112","","2","56","2","17","","2019","54","0","","894","8","","87","19","","","","","295","","","","","397","133","992","2","","","","","510","23","47","52","175","387","93","26","484","10871"
"2017_05","15","","","81","","5","1025","2","","0","909","1902","","","","106","","1","","","","100","","0","62","0","38","","2030","31","2","","965","3","","66","16","","","","","213","","","","","849","25","257","4","","","","","234","20","34","24","143","335","83","36","544","10160"
"2017_06","12","","","60","","4","913","1","","1","942","1859","","","","210","","2","","","","63","","0","31","1","22","","1943","65","0","","977","5","","60","24","","","","","165","","","","","630","17","455","1","","","","","213","19","30","51","135","321","78","27","460","9797"
"2017_07","9","","","48","","5","633","0","","1","888","1641","","","","163","","3","","","","98","","2","45","3","15","","1693","27","1","","587","12","","51","33","","","","","187","","","","","396","6","712","5","","","","","234","9","20","23","95","285","61","18","400","8409"
"2017_08","10","","","56","","2","727","0","","2","899","2140","","","","199","","1","","","","86","","0","28","2","11","","1736","35","8","","821","5","","44","23","","","","","176","","","","","443","2","638","0","","","","","248","15","21","28","146","284","71","15","554","9476"
"2017_09","12","","","54","","9","672","1","","1","765","2009","","","","180","","0","","","","118","","0","48","8","15","","1650","27","4","","617","7","","38","36","","","","","173","","","","","456","128","637","2","","","","","281","15","17","26","96","260","52","17","463","8894"
"2017_10","16","","","44","","3","823","1","","1","795","2397","","","","114","","0","","","","104","","1","69","5","11","","1817","30","0","","734","6","","29","18","","","","","221","","","","","439","20","843","0","","","","","291","21","38","21","85","332","52","21","477","9879"
"2017_11","20","","","66","","4","663","0","","0","932","2231","","","","103","","4","","","","95","","1","71","11","9","","1592","25","1","","1059","9","","40","21","","","","","191","","","","","628","17","907","3","","","","","296","28","43","13","69","250","58","15","430","9905"
"2017_12","22","","","62","","3","582","0","","0","770","2116","","","","61","","2","","","","82","","1","61","8","11","","1380","22","5","","590","2","","49","38","","","","","164","","","","","382","11","515","0","","","","","272","6","26","20","72","217","46","24","411","8033"
"2018_01","17","0","1","","","","464","1","0","","","2502","0","281","","0","0","1","1112","112","","","","0","","","9","14","1863","7","4","1","","13","87","","27","1","0","0","0","0","822","17","0","496","","","712","3","0","454","0","18","","","","32","87","278","58","19","558","10071"
"2018_02","14","0","4","","","","454","0","0","","","2076","0","301","","0","0","0","556","94","","","","2","","","7","14","1366","18","11","1","","13","57","","45","0","3","0","0","1","892","10","0","644","","","659","5","0","300","0","16","","","","25","65","259","46","15","662","8635"
"2018_03","15","2","2","","","","417","0","0","","","2045","0","279","","0","0","1","843","71","","","","4","","","10","16","1938","3","4","0","","12","64","","31","0","0","0","0","1","918","11","0","524","","","796","1","0","423","0","9","","","","17","84","253","46","23","515","9378"
"2018_04","18","4","6","","","","424","1","0","","","2039","0","332","","0","0","3","968","87","","","","0","","","14","11","1868","18","2","9","","12","89","","52","0","2","0","0","0","984","134","0","402","","","847","47","0","381","0","28","","","","24","67","273","50","13","542","9751"
"2018_05","14","5","109","","","","464","2","0","","","2062","0","299","","0","0","0","823","88","","","","3","","","11","6","2016","9","5","7","","10","76","","64","0","3","0","0","0","1022","18","0","1102","","","599","3","0","299","0","24","","","","21","44","286","57","14","670","10235"
"2018_06","6","4","46","","","","413","1","0","","","1863","0","379","","2","0","2","929","67","","","","3","","","12","4","1657","9","0","12","","8","64","","40","0","0","0","0","0","1093","9","0","655","","","542","4","0","199","0","26","","","","41","49","292","56","12","499","8998"
"2018_07","10","2","0","","","","355","0","0","","","2005","0","316","","0","0","1","646","71","","","","0","","","16","4","1663","7","4","10","","5","91","","61","0","0","0","0","1","1221","3","1","442","","","1004","4","0","232","0","21","","","","21","54","309","52","11","615","9258"
"2018_08","6","3","1","","","","390","3","0","","","2029","0","304","","0","0","0","555","63","","","","1","","","8","5","1406","10","2","9","","4","50","","35","0","0","0","0","0","836","13","0","711","","","908","3","0","214","0","23","","","","18","44","285","36","9","546","8530"
"2018_09","6","3","1","","","","390","3","0","","","2029","0","304","","0","0","0","555","63","","","","1","","","8","5","1406","10","2","9","","4","50","","35","0","0","0","0","0","836","13","0","711","","","908","3","0","214","0","23","","","","18","44","285","36","9","546","8530"
"2018_10","11","1","74","","","","516","4","0","","","2468","0","261","","0","0","2","978","72","","","","3","","","13","5","1694","7","1","6","","11","60","","32","0","0","0","0","1","915","12","0","649","","","765","2","0","298","0","50","","","","24","71","360","42","17","726","10151"
"2018_11","9","3","119","","","","287","1","0","","","2682","0","199","","0","0","0","1079","75","","","","0","","","7","5","1412","4","1","1","","7","69","","23","0","2","0","0","0","894","11","0","457","","","698","7","0","256","0","26","","","","11","47","297","45","20","455","9209"
"2018_12","7","2","118","","","","307","0","0","","","1955","0","118","","0","0","1","777","44","","","","1","","","7","3","1262","1","0","1","","7","40","","34","0","0","0","0","0","789","5","0","384","","","444","3","0","275","6","4","","","","5","31","219","22","11","352","7235"
"2019_01","4","2","74","","","","399","0","0","","","2700","0","147","","0","0","0","1304","60","0","","","0","","","4","6","1812","2","0","0","","3","55","","30","0","0","0","0","1","950","5","0","455","","","899","2","0","423","7","2","","","","12","51","285","41","14","534","10283"
"2019_02","4","2","107","","","","433","0","0","","","2364","0","118","","0","0","0","761","33","0","","","2","","","3","5","1494","4","0","0","","5","40","","18","0","0","0","0","3","896","9","0","545","","","685","4","0","411","6","14","","","","3","45","320","29","14","740","9117"
"2019_03","5","1","90","","","","352","1","0","","","2145","0","134","","0","0","1","1049","53","0","","","0","","","6","5","2195","5","6","9","","6","59","","24","0","0","0","0","1","949","6","0","472","","","639","3","0","404","11","1","","","","5","36","275","32","8","516","9504"
"2019_04","7","0","73","","","","315","0","0","","","2069","0","210","","1","0","2","912","88","0","","","1","","","7","2","1721","5","0","9","","5","82","","30","0","0","0","0","0","1003","5","0","413","","","1002","1","1","232","4","10","","","","17","51","268","37","14","565","9162"
"2019_05","7","0","76","","","","409","0","0","","","1933","0","170","","0","0","0","976","56","1","","","0","","","16","2","1839","7","1","17","","7","45","","30","0","0","0","0","0","1125","109","0","1039","","","605","4","0","257","0","7","","","","17","51","325","61","20","682","9894"
"2019_06","7","10","27","","","","317","0","0","","","1873","0","193","","0","0","2","877","37","1","","","0","","","11","0","1841","5","0","13","","3","44","","35","0","0","0","0","0","1017","10","0","564","","","607","3","0","168","0","0","","","","18","44","284","50","14","577","8652"
"2019_07","7","43","57","","","","330","1","0","","","1868","0","203","","1","0","1","698","33","2","","","1","","","11","10","1560","16","0","3","","10","50","","72","1","0","0","0","0","1280","1","0","488","","","866","0","0","207","3","1","","","","24","36","276","51","7","724","8942"
"2019_08","2","25","16","","","","341","1","0","","","1902","0","155","","0","0","1","755","30","6","","","2","","","10","3","1428","8","1","12","","5","56","","43","0","0","0","0","0","994","0","0","427","","","755","0","0","135","3","3","","","","16","32","251","51","12","547","8028"
"2019_09","8","40","28","","","","358","0","0","","","1870","0","155","","0","0","1","1503","42","0","","","2","","","15","3","1445","4","0","13","","8","28","","13","0","0","1","0","0","693","103","0","472","","","634","3","0","137","1","2","","","","13","34","244","47","7","660","8587"
