"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2016_11","8","","","2","","1","788","0","","0","599","1997","","","","83","","2","","","","91","","1","5","51","18","","428","14","","","985","17","","8","23","","","","","37","","","","","797","35","791","10","","","","","344","22","6","6","109","667","36","10","662","8653"
"2016_12","4","","","7","","1","703","0","","0","581","1815","","","","116","","1","","","","87","","1","14","29","17","","386","41","","","536","20","","64","10","","","","","27","","","","","635","29","722","6","","","","","437","18","8","6","113","500","34","9","659","7636"
"2017_01","6","","","2","","5","784","0","","0","737","2316","","","","159","","2","","","","110","","1","16","58","15","","491","27","","","793","28","","34","20","","","","","61","","","","","771","24","783","3","","","","","546","14","6","12","85","546","36","10","747","9248"
"2017_02","4","","","5","","1","746","0","","0","523","2048","","","","107","","1","","","","81","","3","7","24","19","","416","9","","","574","16","","43","10","","","","","25","","","","","1017","20","533","6","","","","","459","12","4","13","80","471","35","7","722","8041"
"2017_03","7","","","6","","4","807","1","","0","536","1970","","","","99","","2","","","","67","","2","11","43","14","","468","15","12","","968","29","","35","18","","","","","35","","","","","1063","12","1084","1","","","","","538","12","9","9","88","579","45","15","731","9335"
"2017_04","7","","","9","","0","689","0","","0","669","2219","","","","118","","4","","","","142","","0","4","39","58","","471","46","32","","680","18","","55","6","","","","","29","","","","","847","55","841","5","","","","","565","43","10","27","92","596","62","23","779","9240"
"2017_05","6","","","8","","1","913","0","","0","549","2111","","","","77","","2","","","","95","","4","6","47","40","","487","43","22","","676","10","","53","18","","","","","47","","","","","1353","19","428","2","","","","","508","14","5","9","91","575","59","13","990","9281"
"2017_06","6","","","5","","1","987","0","","0","565","1841","","","","153","","1","","","","91","","0","5","46","36","","455","37","13","","594","10","","46","22","","","","","45","","","","","1227","14","646","5","","","","","401","17","3","15","95","567","67","19","1120","9155"
"2017_07","6","","","9","","2","631","1","","0","655","1870","","","","132","","0","","","","69","","1","11","46","35","","291","36","9","","457","17","","24","17","","","","","35","","","","","847","4","794","2","","","","","419","21","3","21","69","437","51","18","732","7772"
"2017_08","4","","","8","","0","776","2","","0","597","1912","","","","107","","1","","","","84","","1","4","59","28","","306","20","20","","584","21","","32","7","","","","","33","","","","","1221","0","526","10","","","","","384","20","11","25","92","542","53","10","969","8469"
"2017_09","6","","","12","","7","611","4","","0","477","1711","","","","63","","1","","","","73","","1","10","49","22","","292","18","23","","555","14","","26","12","","","","","49","","","","","986","17","525","6","","","","","348","17","8","17","59","437","39","6","695","7196"
"2017_10","5","","","7","","0","737","0","","0","754","1989","","","","55","","0","","","","112","","1","5","41","31","","443","37","50","","551","28","","20","11","","","","","57","","","","","851","27","1010","3","","","","","397","6","11","18","51","600","54","5","939","8906"
"2017_11","4","","","7","","4","687","1","","0","498","2124","","","","20","","2","","","","88","","2","11","45","24","","421","26","28","","812","55","","31","17","","","","","84","","","","","1089","20","912","1","","","","","483","37","23","16","76","567","58","7","966","9246"
"2017_12","6","","","11","","1","526","0","","1","550","1658","","","","22","","1","","","","90","","0","8","32","16","","384","30","14","","600","30","","39","14","","","","","52","","","","","762","10","664","5","","","","","453","16","59","16","63","483","57","4","885","7562"
"2018_01","6","1","6","","","","602","1","0","","","2200","1","125","","2","0","3","853","143","","","","3","","","19","0","508","5","1","5","","16","64","","16","0","0","0","0","1","730","14","0","867","","","1066","11","0","432","0","20","","","","39","86","654","65","2","832","9399"
"2018_02","1","3","3","","","","616","1","0","","","2032","2","193","","0","1","5","718","104","","","","2","","","18","0","402","6","0","4","","13","75","","27","0","0","0","0","0","607","7","0","924","","","695","2","0","457","0","20","","","","24","66","555","50","8","907","8548"
"2018_03","0","0","1","","","","561","0","0","","","1888","0","183","","0","0","2","975","70","","","","0","","","17","0","396","5","0","10","","10","59","","15","0","0","0","0","1","582","12","0","955","","","1025","3","0","481","0","26","","","","28","75","591","58","8","846","8883"
"2018_04","10","4","12","","","","585","0","0","","","1932","0","217","","0","0","5","687","75","","","","1","","","30","1","348","4","0","12","","9","59","","17","0","0","0","0","0","641","54","0","922","","","1089","25","0","558","0","16","","","","30","80","561","55","8","758","8805"
"2018_05","6","7","24","","","","633","2","0","","","1920","0","276","","1","0","2","694","101","","","","3","","","31","0","440","14","0","12","","13","45","","24","0","0","0","0","0","624","15","0","1356","","","764","4","0","416","0","23","","","","31","87","633","95","11","804","9111"
"2018_06","3","7","38","","","","650","0","0","","","1800","1","212","","0","0","5","620","86","","","","3","","","36","0","362","7","1","23","","13","59","","27","0","0","0","0","0","515","7","0","1212","","","806","2","0","333","0","13","","","","24","78","555","66","6","934","8504"
"2018_07","3","4","3","","","","570","1","0","","","1724","0","241","","2","0","0","516","66","","","","2","","","25","0","333","5","1","14","","13","48","","25","0","0","0","0","0","545","3","0","891","","","854","8","0","311","0","11","","","","24","81","514","60","10","706","7614"
"2018_08","5","1","1","","","","459","0","0","","","1589","0","201","","0","0","2","561","80","","","","2","","","15","0","348","6","0","15","","8","44","","24","0","0","0","0","1","501","8","0","867","","","662","10","0","271","0","37","","","","12","63","495","55","10","681","7034"
"2018_09","5","1","1","","","","459","0","0","","","1589","0","201","","0","0","2","561","80","","","","2","","","15","0","348","6","0","15","","8","44","","24","0","0","0","0","1","501","8","0","867","","","663","10","0","271","0","37","","","","12","63","495","55","10","682","7036"
"2018_10","6","5","7","","","","621","2","0","","","1766","0","189","","0","0","2","679","62","","","","2","","","25","0","350","4","0","14","","5","53","","28","0","0","0","0","1","715","8","0","883","","","1242","6","0","341","0","36","","","","19","72","577","64","8","979","8771"
"2018_11","7","2","88","","","","563","0","0","","","1821","0","171","","1","0","1","894","68","","","","1","","","19","0","339","3","0","7","","10","62","","34","0","1","0","0","1","507","11","0","733","","","1019","4","0","359","0","19","","","","23","60","535","54","6","926","8349"
"2018_12","4","2","53","","","","358","1","0","","","1855","0","128","","1","0","2","658","51","","","","1","","","8","2","363","6","0","3","","12","41","","23","0","2","0","0","0","471","8","0","609","","","847","3","0","373","1","9","","","","15","60","459","40","4","564","7037"
"2019_01","7","6","84","","","","560","1","0","","","2201","0","150","","1","0","1","797","71","0","","","2","","","14","0","393","4","0","8","","7","44","","24","0","0","0","0","1","585","21","0","794","","","1135","4","0","466","0","13","","","","13","59","563","61","7","912","9009"
"2019_02","8","4","35","","","","533","0","0","","","1807","0","173","","2","0","0","639","47","1","","","1","","","18","1","253","4","0","10","","10","39","","25","0","0","0","0","0","557","6","0","891","","","861","1","0","437","0","25","","","","17","52","523","43","3","914","7940"
"2019_03","5","5","33","","","","566","1","0","","","1861","0","279","","1","0","0","988","95","3","","","1","","","25","1","345","9","0","19","","11","58","","28","0","0","0","0","0","601","15","0","905","","","919","5","0","513","0","30","","","","20","66","579","63","7","962","9019"
"2019_04","5","5","35","","","","550","0","0","","","1626","0","207","","3","0","1","721","59","3","","","3","","","19","0","277","8","0","18","","7","77","","23","0","0","0","0","1","610","12","0","806","","","1153","7","0","357","0","21","","","","27","68","532","52","7","943","8243"
"2019_05","1","5","35","","","","595","0","0","","","1572","1","256","","0","0","1","689","56","0","","","2","","","29","0","357","16","3","19","","6","70","","18","0","0","0","0","0","620","55","0","1224","","","778","4","0","383","0","21","","","","21","74","581","90","6","1035","8623"
"2019_06","3","4","39","","","","514","0","0","","","1138","0","291","","5","0","2","925","82","3","","","2","","","33","0","245","11","2","26","","13","54","","27","0","0","0","0","0","628","8","0","1293","","","918","1","0","277","0","12","","","","25","60","539","74","16","946","8216"
"2019_07","1","81","49","","","","530","0","0","","","1432","1","386","","2","0","1","857","55","1","","","1","","","28","0","280","7","4","13","","11","61","","22","0","0","0","0","0","604","7","0","1009","","","902","5","0","255","0","11","","","","29","86","566","88","21","989","8395"
"2019_08","4","19","27","","","","424","1","0","","","1001","0","286","","3","0","1","577","47","1","","","0","","","31","0","205","10","1","18","","7","66","","21","0","0","0","0","0","490","1","0","1778","","","680","0","0","244","0","11","","","","20","65","479","57","4","751","7330"
"2019_09","0","26","24","","","","400","2","0","","","891","0","310","","0","0","2","1752","45","1","","","1","","","31","0","226","8","1","19","","2","78","","20","0","0","0","0","1","490","8","0","677","","","1227","0","0","198","0","10","","","","37","65","478","76","6","659","7771"
