"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2012_11","18","","","","328","0","1177","0","","4","","","","","1076","10","","1","","","","167","426","3","450","14","44","","359","25","","","19","27","","","64","","","","","256","","","","","886","4","80","21","","","","","764","31","14","47","588","499","113","13","435","7963"
"2012_12","19","","","","402","0","1200","0","","2","","","","","1077","21","","1","","","","177","412","4","543","21","42","","340","26","","","20","18","","","77","","","","","294","","","","","741","11","73","20","","","","","950","33","21","81","728","581","154","9","548","8646"
"2013_01","28","","","","409","0","1434","0","","0","","","","","1378","17","","2","","","","227","410","5","587","109","93","","444","32","","","57","22","","","76","","","","","366","","","","","1147","8","128","20","","","","","1181","50","15","153","891","747","194","6","620","10856"
"2013_02","22","","","","474","0","1325","0","","13","","","","","1389","31","","4","","","","284","401","5","712","85","47","","306","47","","","44","20","","","93","","","","","255","","","","","957","7","105","22","","","","","1436","35","22","108","778","680","175","15","812","10709"
"2013_03","42","","","","494","0","1540","0","","2","","","","","1702","27","","1","","","","365","544","8","811","233","62","","520","52","","","73","48","","","108","","","","","328","","","","","1120","9","224","47","","","","","1542","65","28","80","919","812","225","9","769","12809"
"2013_04","43","","","","588","0","2019","0","","1","","","","","1580","81","","2","","","","308","556","12","988","293","101","","423","31","","","31","23","","","125","","","","","268","","","","","1385","8","288","17","","","","","1512","50","29","92","895","905","203","12","657","13526"
"2013_05","27","","","","457","0","1706","0","","2","","","","","1284","90","","5","","","","301","504","6","637","75","113","","592","47","","","60","33","","","97","","","","","322","","","","","1536","13","315","35","","","","","936","79","32","89","827","793","262","24","696","11995"
"2013_06","23","","","","334","0","1326","0","","0","","","","","1001","31","","2","","","","270","475","7","445","19","76","","399","28","","","42","17","","","102","","","","","223","","","","","1286","2","264","32","","","","","531","49","30","68","706","648","180","13","592","9221"
"2013_07","24","","","","344","0","1185","0","","0","","","","","1114","36","","2","","","","196","501","10","397","19","77","","341","47","","","35","19","","","88","","","","","234","","","","","1221","3","262","17","","","","","479","56","15","54","598","612","138","9","569","8702"
"2013_08","25","","","","354","0","1291","0","","0","","","","","1040","36","","5","","","","164","415","1","459","23","64","","353","47","","","35","18","","","47","","","","","233","","","","","1182","3","306","22","","","","","640","69","21","59","686","620","160","8","641","9027"
"2013_09","30","","","","342","0","1332","0","","2","","","","","1300","17","","0","","","","202","513","4","565","24","80","","462","47","","","57","14","","","65","","","","","289","","","","","1383","57","267","24","","","","","841","42","14","60","784","698","205","13","623","10356"
"2013_10","27","","","","467","0","1296","5","","9","","","","","1230","43","","2","","","","255","563","4","608","12","60","","437","33","","","41","20","","","68","","","","","255","","","","","1234","16","382","25","","","","","887","51","25","74","756","723","197","11","688","10504"
"2013_11","29","","","","505","0","996","0","","22","","","","","1292","12","","6","","","","220","407","3","594","7","38","","539","35","","","134","40","","","68","","","","","345","","","","","767","18","293","18","","","","","790","33","29","56","784","657","186","13","656","9592"
"2013_12","31","","","","460","0","958","3","","6","","","","","1205","40","","4","","","","175","473","5","712","13","53","","467","45","","","64","29","","","59","","","","","346","","","","","752","6","171","19","","","","","763","45","79","58","691","577","174","11","586","9080"
"2014_01","24","","","","519","0","1355","0","","4","","","","","1366","19","","8","","","","235","638","10","841","4","89","","481","54","","","110","35","","","65","","","","","453","","","","","1039","9","246","20","","","","","1120","30","50","145","726","698","207","11","689","11300"
"2014_02","35","","","","540","1","1309","1","","4","","","","","1179","17","","4","","","","191","679","7","718","8","63","","529","36","","","214","54","","","77","","","","","362","","","","","925","4","304","24","","","","","1169","40","42","81","708","650","183","9","1031","11198"
"2014_03","24","","","","553","0","1565","0","","2","","","","","1628","32","","4","","","","200","659","10","693","6","77","","592","30","","","262","61","","","65","","","","","333","","","","","1160","23","449","35","","","","","1301","54","51","71","771","784","181","7","1049","12732"
"2014_04","29","","","447","","1","1796","0","","19","","","","","1784","41","","3","","","","186","756","5","575","2","61","","601","31","","","168","54","","","90","","","","","332","","","","","1306","78","350","42","","","","","1120","20","40","69","725","698","166","8","919","12522"
"2014_05","33","","","331","","2","1647","0","","5","","","","","1423","33","","2","","","","227","736","5","439","3","74","","640","29","","","283","33","","","68","","","","","358","","","","","1487","15","731","63","","","","","723","27","44","73","617","677","176","14","896","11914"
"2014_06","32","","","243","","3","1248","0","","6","","","","","1579","30","","0","","","","223","719","6","277","9","110","","503","32","","","289","55","","","103","","","","","418","","","","","1415","6","351","32","","","","","471","18","33","52","605","670","191","16","784","10529"
"2014_07","26","","","319","","7","1131","0","","1","","","","","1520","24","","0","","","","230","809","5","245","11","70","","452","20","","","229","58","","","78","","","","","412","","","","","1285","3","422","10","","","","","508","23","15","48","577","609","169","12","739","10067"
"2014_08","19","","","302","","3","1020","4","","5","","","","","1468","32","","9","","","","191","830","4","344","11","54","","495","15","","","237","77","","","126","","","","","351","","","","","1204","1","381","17","","","","","555","21","26","70","608","662","194","3","883","10222"
"2014_09","25","","","339","","2","921","0","","0","","","","","1324","23","","7","","","","171","680","3","333","4","74","","463","18","","","156","40","","","123","","","","","384","","","","","934","149","418","53","","","","","545","26","34","48","550","673","168","12","840","9540"
"2014_10","18","","","369","","7","918","0","","4","","","","","1594","58","","8","","","","249","779","5","480","6","40","","409","33","","","199","60","","","81","","","","","276","","","","","1279","118","456","18","","","","","1011","57","40","46","573","733","157","13","832","10926"
"2014_11","29","","","247","","6","1006","1","","10","","","","","1629","23","","7","","","","334","745","27","440","12","43","","703","36","","","198","78","","","101","","","","","260","","","","","944","17","600","23","","","","","1123","25","38","35","475","588","163","14","680","10660"
"2014_12","17","","","141","","4","557","1","","6","353","943","","","","23","","3","","","","163","","5","164","2","23","","396","12","","","91","38","","","62","","","","","118","","","","","530","10","313","19","","","","","467","26","12","20","238","347","82","4","348","5538"
"2015_01","24","","","255","","28","690","0","","0","546","1293","","","","40","","1","","","","240","","3","421","0","24","","348","14","","","109","50","","","69","","","","","71","","","","","752","6","315","11","","","","","777","26","13","47","383","499","116","10","573","7754"
"2015_02","27","","","364","","41","1057","0","","0","755","1882","","","","22","","6","","","","407","","10","405","1","82","","703","24","","","207","74","","","47","","","","","177","","","","","1056","7","245","17","","","","","1237","43","38","37","460","640","145","12","722","10950"
"2015_03","29","","","335","","27","1059","0","","1","810","1829","","","","24","","10","","","","360","","10","346","4","52","","694","19","","","358","59","","","53","","","","","153","","","","","1142","12","410","14","","","","","1385","24","36","34","538","630","185","18","780","11440"
"2015_04","28","","","269","","18","954","0","","7","798","1594","","","","57","","7","","","","333","","7","270","4","51","","552","38","","","202","64","","","117","","","","","112","","","","","1337","56","401","10","","","","","1063","22","18","51","414","657","181","16","820","10528"
"2015_05","14","","","231","","8","1253","2","","1","570","1593","","","","41","","5","","","","278","","5","188","2","36","","465","19","","","162","60","","","89","","","","","103","","","","","1407","13","342","12","","","","","742","19","15","32","361","633","148","11","901","9761"
"2015_06","24","","","217","","8","895","1","","1","1032","1801","","","","36","","1","","","","294","","3","210","1","67","","532","43","","","350","72","","","67","","","","","102","","","","","1125","7","337","6","","","","","569","29","19","34","342","622","178","4","888","9917"
"2015_07","22","","","202","","2","811","4","","0","624","1555","","","","18","","6","","","","209","","7","203","0","43","","468","22","","","230","42","","","106","","","","","67","","","","","872","1","334","5","","","","","498","14","14","31","344","559","135","8","691","8147"
"2015_08","22","","","206","","2","811","0","","0","773","1811","","","","56","","2","","","","254","","7","222","0","59","","491","24","","","214","69","","","102","","","","","87","","","","","885","1","425","10","","","","","632","19","15","35","393","568","120","11","731","9057"
"2015_09","16","","","151","","2","760","1","","1","658","1431","","","","29","","4","","","","283","","6","186","0","35","","371","13","","","212","96","","","70","","","","","65","","","","","834","51","414","9","","","","","463","26","13","14","347","514","109","7","740","7931"
"2015_10","19","","","241","","3","993","0","","1","852","1745","","","","14","","5","","","","307","","9","261","2","37","","604","18","","","246","76","","","85","","","","","124","","","","","1106","16","630","13","","","","","1079","18","26","32","492","709","139","11","763","10676"
"2015_11","19","","","180","","2","793","0","","0","752","1511","","","","22","","0","","","","231","","9","257","2","35","","518","15","","","383","85","","","22","","","","","73","","","","","659","7","1125","19","","","","","735","13","15","33","521","512","136","11","819","9514"
"2015_12","11","","","194","","2","673","0","","0","682","1754","","","","16","","5","","","","281","","7","300","3","32","","570","17","","","304","66","","","54","","","","","69","","","","","714","7","287","6","","","","","823","13","14","37","531","595","122","11","685","8885"
"2016_01","13","","","208","","4","627","0","","0","683","1843","","","","16","","0","","","","248","","4","310","4","28","","464","53","","","235","79","","","80","","","","","86","","","","","686","39","499","16","","","","","1398","15","13","63","506","554","152","10","647","9583"
"2016_02","18","","","242","","6","975","0","","0","859","2463","","","","25","","0","","","","328","","4","315","0","26","","768","35","","","313","114","","","70","","","","","154","","","","","933","10","472","46","","","","","1311","13","19","40","478","667","132","11","958","11805"
"2016_03","19","","","194","","7","990","0","","0","932","2096","","","","44","","0","","","","285","","11","236","8","44","","689","85","","","382","148","","","99","","","","","114","","","","","1202","9","437","35","","","","","1228","19","10","43","507","725","163","10","930","11701"
"2016_04","14","","","179","","5","830","1","","0","922","1805","","","","74","","1","","","","251","","5","199","3","52","","604","77","","","246","125","","","76","","","","","84","","","","","936","44","393","9","","","","","790","23","12","38","358","603","134","9","702","9604"
"2016_05","12","","","182","","6","993","0","","2","879","2027","","","","51","","3","","","","267","","3","177","1","40","","610","56","","","214","115","","11","106","","","","","105","","","","","1472","28","468","10","","","","","733","21","17","46","424","639","154","21","779","10672"
"2016_06","9","","","153","","2","890","0","","4","912","1778","","","","53","","0","","","","225","","0","139","3","61","","584","58","","","366","133","","34","120","","","","","76","","","","","1247","22","425","6","","","","","484","39","4","42","352","631","149","13","898","9912"
"2016_07","11","","","162","","5","603","0","","1","720","1374","","","","24","","1","","","","143","","7","164","6","15","","417","45","","","205","88","","22","108","","","","","69","","","","","751","4","309","13","","","","","497","15","8","31","352","465","115","10","639","7399"
"2016_08","6","","","168","","3","740","0","","2","730","2062","","","","56","","0","","","","209","","3","169","11","43","","513","48","","","210","93","","22","124","","","","","85","","","","","867","2","434","12","","","","","435","9","19","31","330","575","149","12","773","8945"
"2016_09","18","","","170","","3","739","1","","0","834","1749","","","","19","","1","","","","177","","8","172","7","48","","515","35","","","231","90","","21","109","","","","","94","","","","","848","17","464","9","","","","","565","19","26","23","391","566","138","8","874","8989"
"2016_10","18","","","156","","3","971","0","","1","1106","2265","","","","26","","0","","","","228","","2","176","7","37","","724","32","","","328","86","","19","127","","","","","111","","","","","1069","6","864","10","","","","","742","18","23","20","445","691","153","18","992","11474"
"2016_11","15","","","166","","1","682","2","","2","907","2131","","","","31","","0","","","","208","","5","163","6","33","","649","43","","","431","59","","17","93","","","","","93","","","","","696","20","723","11","","","","","836","14","17","24","376","608","128","10","856","10056"
"2016_12","16","","","168","","6","670","0","","3","734","2077","","","","13","","0","","","","160","","3","157","6","16","","499","119","","","368","29","","88","58","","","","","92","","","","","619","19","452","4","","","","","800","20","29","26","336","564","115","14","753","9033"
"2017_01","17","","","155","","5","720","2","","15","1071","2597","","","","37","","4","","","","257","","4","167","10","25","","664","54","","","451","35","","48","74","","","","","48","","","","","718","10","876","8","","","","","1050","9","17","32","364","661","135","11","808","11159"
"2017_02","11","","","121","","0","697","6","","1","940","2431","","","","19","","1","","","","211","","3","161","6","21","","604","43","","","326","31","","55","96","","","","","34","","","","","746","49","570","11","","","","","984","24","14","38","282","590","119","13","850","10108"
"2017_03","22","","","132","","0","885","4","","0","1260","2876","","","","24","","7","","","","208","","1","166","4","27","","820","44","9","","459","26","","59","95","","","","","80","","","","","1118","26","764","19","","","","","1121","10","22","30","338","670","129","15","1165","12635"
"2017_04","17","","","133","","1","809","1","","6","1056","2281","","","","76","","5","","","","216","","2","129","3","60","","881","56","15","","468","7","","45","113","","","","","68","","","","","979","38","606","10","","","","","801","16","20","33","302","658","183","13","974","11081"
"2017_05","20","","","137","","0","894","6","","1","1112","2112","","","","69","","3","","","","211","","9","111","2","49","","825","50","10","","361","39","","56","120","","","","","59","","","","","1485","34","473","14","","","","","629","40","16","35","250","663","181","11","1083","11170"
"2017_06","11","","","84","","1","905","1","","0","1217","2053","","","","152","","0","","","","163","","10","82","0","61","","654","42","14","","393","30","","35","80","","","","","63","","","","","1310","21","574","14","","","","","523","36","13","37","216","611","150","12","1290","10858"
"2017_07","15","","","106","","9","724","3","","2","1054","1930","","","","38","","1","","","","151","","3","100","0","38","","551","44","15","","314","22","","32","98","","","","","62","","","","","826","4","576","12","","","","","466","26","11","20","192","501","133","13","878","8970"
"2017_08","12","","","103","","2","737","2","","1","1044","1973","","","","44","","3","","","","203","","1","103","0","31","","642","43","34","","398","10","","35","123","","","","","55","","","","","1022","6","543","5","","","","","523","27","9","23","221","585","149","7","1040","9759"
"2017_09","6","","","79","","5","639","1","","0","856","1773","","","","71","","2","","","","166","","2","64","4","35","","497","34","8","","268","17","","35","74","","","","","99","","","","","899","6","419","9","","","","","455","41","8","21","188","496","114","10","1047","8448"
"2017_10","7","","","113","","1","756","1","","0","1172","2318","","","","80","","2","","","","181","","4","82","4","40","","550","35","8","","423","32","","32","92","","","","","231","","","","","1106","43","677","9","","","","","511","120","7","38","209","566","138","10","1290","10888"
"2017_11","10","","","101","","0","645","0","","0","1199","2452","","","","43","","0","","","","213","","1","126","3","52","","697","28","12","","517","30","","20","87","","","","","201","","","","","1071","1","688","7","","","","","621","64","12","26","195","515","106","5","1093","10841"
"2017_12","8","","","109","","1","428","0","","0","901","1975","","","","28","","2","","","","151","","2","107","2","26","","434","26","30","","287","14","","24","68","","","","","148","","","","","645","7","453","7","","","","","498","102","5","12","164","416","106","9","776","7971"
"2018_01","10","6","1","","","","530","5","0","","","2828","0","359","","0","0","1","479","220","","","","2","","","24","0","541","8","0","2","","26","61","","109","0","0","0","0","3","1060","10","0","873","","","703","6","0","766","0","73","","","","30","163","642","133","11","1071","10756"
"2018_02","5","4","1","","","","533","3","0","","","2583","1","369","","0","0","2","452","237","","","","3","","","11","0","489","5","1","5","","20","70","","82","0","2","0","0","2","1001","3","0","766","","","607","11","0","634","0","73","","","","35","137","556","121","9","1088","9921"
"2018_03","10","4","5","","","","540","1","0","","","2547","2","270","","0","0","3","433","187","","","","2","","","20","0","516","10","0","3","","13","52","","95","0","1","0","0","9","1194","5","0","797","","","708","4","0","719","0","54","","","","24","133","619","104","6","1187","10277"
"2018_04","10","5","8","","","","580","3","0","","","2762","2","406","","0","1","0","523","204","","","","1","","","23","2","729","19","0","13","","12","60","","128","0","12","0","0","5","1293","22","0","811","","","703","13","0","596","0","44","","","","31","133","568","127","7","1318","11174"
"2018_05","1","16","25","","","","368","3","0","","","2089","0","294","","1","0","0","294","204","","","","1","","","21","0","512","10","0","20","","7","41","","108","0","1","0","0","2","949","5","0","1112","","","458","2","0","384","0","34","","","","23","105","474","128","5","856","8553"
"2018_06","9","16","11","","","","439","3","0","","","1904","0","321","","0","0","0","392","185","","","","1","","","25","0","557","6","1","15","","9","38","","119","0","0","1","0","1","963","15","0","1094","","","477","6","0","316","0","43","","","","37","114","546","121","7","1038","8830"
"2018_07","9","10","0","","","","409","8","0","","","2100","0","316","","0","0","0","311","190","","","","0","","","30","1","517","6","0","19","","3","53","","131","0","0","0","0","1","1012","3","0","681","","","506","2","0","354","0","44","","","","36","104","558","158","4","891","8467"
"2018_08","6","5","5","","","","282","5","0","","","1772","0","243","","0","0","2","268","165","","","","1","","","29","0","380","6","0","15","","9","38","","71","0","0","0","0","3","793","18","0","640","","","513","4","0","274","0","19","","","","9","96","429","88","8","698","6894"
"2018_09","6","5","5","","","","282","5","0","","","1773","0","243","","0","0","2","268","165","","","","1","","","29","0","380","6","0","15","","9","38","","71","0","0","0","0","3","793","18","0","640","","","513","4","0","274","0","19","","","","9","96","429","88","8","698","6895"
"2018_10","4","13","35","","","","302","8","0","","","2339","0","335","","1","0","1","404","195","","","","4","","","29","1","535","7","0","11","","14","52","","105","0","0","0","0","5","1197","14","0","661","","","630","4","0","339","0","43","","","","28","137","505","120","11","960","9049"
"2018_11","15","18","27","","","","220","2","0","","","2017","0","270","","1","0","0","335","213","","","","6","","","18","1","540","5","0","9","","10","65","","60","0","2","0","0","1","972","12","0","425","","","508","7","0","385","0","25","","","","18","125","449","93","9","675","7538"
"2018_12","7","9","25","","","","191","8","0","","","1848","0","235","","0","0","1","346","185","","","","3","","","6","1","499","4","0","1","","10","45","","42","0","0","0","0","0","924","12","0","372","","","518","6","1","291","0","17","","","","13","108","432","89","6","593","6848"
"2019_01","9","15","28","","","","330","6","0","","","2675","0","297","","1","0","1","366","229","0","","","3","","","17","0","456","8","0","4","","8","66","","77","0","0","0","0","1","1052","12","0","537","","","506","3","0","616","0","20","","","","16","123","556","104","10","981","9133"
"2019_02","8","11","36","","","","285","2","0","","","2292","0","276","","1","0","2","392","234","0","","","4","","","20","2","486","3","0","6","","9","53","","51","0","0","1","0","1","894","7","0","590","","","566","13","0","507","0","14","","","","12","125","517","101","18","875","8414"
"2019_03","5","5","18","","","","274","5","2","","","2310","0","236","","0","0","1","566","257","0","","","2","","","22","1","544","5","0","2","","9","74","","93","0","0","0","0","3","1020","4","0","587","","","553","6","0","692","0","33","","","","18","118","576","110","12","946","9109"
"2019_04","4","9","29","","","","270","8","0","","","2047","1","314","","0","0","0","574","190","1","","","0","","","58","0","588","12","1","38","","9","65","","44","0","0","0","0","4","1129","3","3","569","","","588","4","0","441","0","41","","","","34","132","551","129","6","808","8704"
"2019_05","7","12","11","","","","281","3","1","","","2270","0","267","","1","0","1","354","235","1","","","2","","","75","0","560","8","0","23","","7","64","","65","0","0","0","0","0","856","24","0","888","","","408","4","0","380","0","61","","","","35","147","542","124","9","842","8568"
"2019_06","6","9","15","","","","232","4","0","","","1484","0","260","","2","0","2","324","126","3","","","0","","","54","0","432","12","0","24","","5","70","","31","0","0","0","0","0","631","6","2","632","","","363","5","0","251","0","30","","","","22","85","451","107","9","700","6389"
"2019_07","5","107","7","","","","292","11","0","","","1509","1","312","","1","0","2","318","166","2","","","1","","","71","2","437","11","3","19","","5","55","","42","0","0","0","0","1","757","2","0","567","","","309","5","0","242","0","14","","","","19","86","457","116","5","803","6762"
"2019_08","6","64","33","","","","245","5","0","","","1464","0","359","","0","0","0","373","138","1","","","10","","","48","1","444","11","0","29","","7","43","","36","0","0","0","0","0","779","3","0","479","","","520","3","0","252","0","52","","","","21","94","472","105","14","704","6815"
"2019_09","7","93","1","","","","151","4","0","","","1083","0","336","","0","0","0","1016","107","1","","","1","","","84","0","432","5","1","26","","12","41","","49","0","0","0","0","0","615","49","1","366","","","305","1","0","156","0","10","","","","12","78","335","85","6","395","5864"
