"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2014_01","31","","","","451","5","385","0","","2","","","","","1055","50","","5","","","","177","267","6","546","18","9","","577","49","","","242","22","","","17","","","","","172","","","","","420","32","634","15","","","","","1414","42","120","139","651","565","173","27","263","8581"
"2014_02","19","","","","403","6","660","1","","1","","","","","1133","54","","5","","","","336","402","5","477","20","14","","724","30","","","276","61","","","20","","","","","242","","","","","667","36","513","32","","","","","1381","13","165","67","621","572","171","32","225","9384"
"2014_03","30","","","","455","13","839","0","","3","","","","","1557","65","","4","","","","252","412","21","363","7","13","","812","57","","","190","36","","","22","","","","","251","","","","","789","98","668","36","","","","","1726","25","171","65","679","747","183","25","402","11016"
"2014_04","46","","","363","","9","651","1","","3","","","","","1415","56","","6","","","","211","424","6","354","7","12","","740","45","","","195","22","","","28","","","","","336","","","","","819","90","563","15","","","","","1297","11","81","57","537","683","182","32","389","9686"
"2014_05","40","","","295","","11","1069","2","","0","","","","","1487","58","","20","","","","250","443","6","277","9","11","","1092","46","","","477","31","","","33","","","","","256","","","","","1089","52","1214","16","","","","","1219","24","88","52","595","696","177","37","481","11653"
"2014_06","28","","","289","","9","725","0","","0","","","","","1389","47","","4","","","","173","412","0","269","10","17","","903","42","","","370","24","","","17","","","","","284","","","","","809","14","598","20","","","","","959","10","118","56","540","591","182","53","382","9344"
"2014_07","37","","","349","","8","758","5","","9","","","","","1556","55","","8","","","","238","454","7","328","6","27","","1008","40","","","197","27","","","32","","","","","230","","","","","826","5","649","20","","","","","880","15","134","46","534","658","209","67","448","9870"
"2014_08","23","","","340","","37","607","3","","8","","","","","1152","71","","9","","","","170","413","3","315","18","18","","695","36","","","114","46","","","38","","","","","227","","","","","657","3","717","14","","","","","1178","8","78","25","529","570","158","71","369","8720"
"2014_09","27","","","371","","19","644","1","","8","","","","","1137","42","","2","","","","153","366","8","277","13","19","","876","26","","","172","36","","","37","","","","","218","","","","","581","108","517","20","","","","","1036","34","74","37","581","565","156","60","385","8606"
"2014_10","31","","","545","","15","687","0","","2","","","","","1754","57","","8","","","","264","502","3","497","16","21","","1037","38","","","280","36","","","33","","","","","252","","","","","566","488","594","20","","","","","1379","20","97","28","667","704","225","93","383","11342"
"2014_11","49","","","472","","20","540","0","","2","","","","","1713","41","","11","","","","254","459","3","444","15","16","","859","28","","","467","48","","","19","","","","","282","","","","","557","127","1182","24","","","","","1281","12","117","30","643","707","183","77","344","11026"
"2014_12","19","","","270","","9","370","0","","1","279","958","","","","11","","2","","","","131","","3","194","7","8","","628","23","","","149","26","","","25","","","","","131","","","","","292","72","421","13","","","","","813","14","67","25","433","351","132","90","239","6206"
"2015_01","20","","","402","","19","489","0","","1","439","1215","","","","34","","3","","","","250","","9","454","16","12","","869","23","","","420","29","","","10","","","","","116","","","","","455","37","641","19","","","","","1029","39","102","34","489","590","183","95","300","8843"
"2015_02","23","","","646","","13","492","0","","0","431","1659","","","","37","","4","","","","251","","3","621","11","19","","778","44","","","477","33","","","20","","","","","149","","","","","627","62","540","34","","","","","1535","26","203","33","640","569","164","40","335","10519"
"2015_03","40","","","491","","13","572","0","","0","434","1658","","","","35","","2","","","","183","","8","504","14","12","","1139","36","","","411","22","","","17","","","","","161","","","","","558","72","732","15","","","","","1591","28","108","21","674","610","199","45","306","10711"
"2015_04","27","","","399","","19","664","1","","0","424","1747","","","","57","","4","","","","149","","1","301","6","34","","902","39","","","483","25","","","21","","","","","122","","","","","777","186","817","19","","","","","1383","39","76","28","476","610","185","37","434","10492"
"2015_05","19","","","320","","26","1046","3","","0","475","1571","","","","40","","12","","","","114","","6","196","6","21","","922","33","","","262","40","","","15","","","","","180","","","","","1098","74","730","13","","","","","1097","33","55","26","418","619","184","26","565","10245"
"2015_06","23","","","294","","9","612","8","","1","475","1310","","","","46","","7","","","","144","","3","239","12","26","","953","16","","","664","44","","","38","","","","","144","","","","","707","48","783","13","","","","","1078","25","51","20","456","603","163","37","472","9524"
"2015_07","23","","","278","","2","594","4","","3","411","1557","","","","29","","4","","","","209","","4","227","3","45","","981","38","","","414","34","","","22","","","","","135","","","","","682","42","726","17","","","","","1005","36","41","21","464","619","186","65","447","9368"
"2015_08","22","","","275","","6","572","6","","5","377","1648","","","","38","","0","","","","199","","5","223","5","21","","930","28","","","143","34","","","22","","","","","68","","","","","660","23","722","8","","","","","1071","30","34","27","410","576","142","53","396","8779"
"2015_09","25","","","287","","12","628","1","","6","319","1168","","","","33","","1","","","","97","","1","241","3","14","","712","27","","","330","16","","","15","","","","","87","","","","","743","110","565","9","","","","","1003","21","29","31","437","524","133","29","401","8058"
"2015_10","16","","","358","","3","725","1","","3","413","1609","","","","51","","3","","","","143","","7","366","8","27","","987","31","","","413","29","","","12","","","","","99","","","","","718","109","596","13","","","","","1596","36","34","29","582","664","170","31","448","10330"
"2015_11","18","","","305","","11","538","1","","14","384","1669","","","","25","","5","","","","144","","2","330","5","19","","782","20","","","551","25","","","15","","","","","100","","","","","591","82","1455","21","","","","","1170","64","36","23","485","595","161","26","352","10024"
"2015_12","14","","","270","","13","443","4","","1","380","1423","","","","24","","2","","","","139","","3","350","15","19","","651","32","","","319","33","","","7","","","","","85","","","","","344","37","445","9","","","","","1182","47","31","24","411","534","133","26","312","7762"
"2016_01","30","","","390","","4","524","3","","1","439","1773","","","","33","","2","","","","204","","3","510","34","30","","864","98","","","441","41","","","18","","","","","73","","","","","512","124","837","22","","","","","2176","53","44","61","588","646","192","128","363","11261"
"2016_02","21","","","395","","5","563","0","","0","483","1903","","","","56","","1","","","","193","","8","484","15","22","","837","128","","","408","18","","","13","","","","","129","","","","","515","49","637","14","","","","","1690","39","43","36","457","670","206","110","355","10503"
"2016_03","25","","","336","","3","636","2","","0","461","1678","","","","58","","5","","","","167","","1","343","4","9","","1046","111","","","539","23","","","16","","","","","118","","","","","609","83","900","16","","","","","1585","52","56","40","526","779","177","79","387","10870"
"2016_04","28","","","310","","7","588","0","","0","456","1857","","","","70","","0","","","","240","","1","252","12","12","","818","112","","","486","28","","","15","","","","","85","","","","","677","115","912","27","","","","","1579","30","65","47","532","666","231","73","359","10690"
"2016_05","22","","","316","","8","708","8","","0","505","1941","","","","63","","0","","","","183","","3","219","1","20","","1005","103","","","444","40","","26","30","","","","","91","","","","","1201","58","976","25","","","","","1329","24","44","40","619","770","186","51","563","11622"
"2016_06","24","","","250","","3","610","0","","2","397","1650","","","","62","","2","","","","119","","7","180","2","27","","791","76","","","319","46","","43","11","","","","","114","","","","","985","33","788","40","","","","","1175","62","36","43","516","721","215","19","525","9893"
"2016_07","25","","","274","","4","539","12","","2","328","1609","","","","34","","4","","","","155","","2","170","12","43","","731","51","","","261","32","","40","16","","","","","108","","","","","708","9","603","12","","","","","1146","17","47","24","533","682","158","40","468","8899"
"2016_08","35","","","300","","6","760","17","","1","460","1966","","","","72","","4","","","","224","","2","186","0","25","","981","61","","","398","45","","51","22","","","","","223","","","","","912","11","840","15","","","","","1316","36","31","46","567","766","251","69","574","11273"
"2016_09","13","","","240","","4","679","0","","2","418","1729","","","","43","","4","","","","147","","5","210","6","27","","939","58","","","335","41","","54","16","","","","","182","","","","","758","111","684","30","","","","","1051","21","46","32","513","711","209","46","537","9901"
"2016_10","19","","","277","","3","853","8","","3","477","2055","","","","31","","7","","","","156","","8","316","6","25","","1105","58","","","418","43","","67","14","","","","","164","","","","","786","78","1299","14","","","","","1261","14","28","32","522","797","228","37","788","11997"
"2016_11","23","","","252","","8","629","1","","0","502","2034","","","","28","","6","","","","146","","6","337","12","45","","995","55","","","619","32","","46","10","","","","","151","","","","","616","45","1309","18","","","","","1269","16","32","21","500","768","199","34","442","11206"
"2016_12","22","","","250","","9","606","1","","2","566","2047","","","","39","","7","","","","155","","5","339","12","28","","1160","81","","","559","35","","250","16","","","","","128","","","","","492","52","787","7","","","","","1530","18","29","29","471","736","211","40","475","11194"
"2017_01","21","","","304","","4","643","6","","3","609","2221","","","","28","","0","","","","281","","4","338","16","32","","1208","58","","","726","49","","104","21","","","","","112","","","","","555","80","1433","20","","","","","1661","22","28","73","518","830","248","135","459","12850"
"2017_02","24","","","302","","7","649","2","","0","575","1880","","","","47","","1","","","","219","","5","241","25","25","","1075","63","","","520","43","","107","11","","","","","110","","","","","498","23","885","17","","","","","1509","8","41","39","448","710","236","76","525","10946"
"2017_03","28","","","293","","11","875","5","","0","658","2214","","","","38","","5","","","","159","","5","236","5","25","","1342","40","0","","658","38","","103","14","","","","","135","","","","","554","58","1003","16","","","","","1384","8","45","39","461","826","244","64","708","12297"
"2017_04","22","","","268","","15","767","0","","1","587","2093","","","","70","","1","","","","138","","8","254","3","34","","1149","64","2","","602","56","","120","11","","","","","107","","","","","623","117","1106","10","","","","","1543","9","22","45","504","794","236","45","595","12021"
"2017_05","16","","","225","","3","866","6","","0","706","2200","","","","51","","17","","","","204","","8","202","2","26","","1248","45","0","","648","45","","114","15","","","","","114","","","","","1146","67","1195","12","","","","","1363","12","17","45","431","856","247","93","786","13031"
"2017_06","22","","","156","","6","713","5","","3","486","1789","","","","42","","7","","","","147","","0","121","4","28","","1064","48","7","","329","22","","109","18","","","","","105","","","","","988","41","920","12","","","","","1053","16","24","31","380","675","203","63","691","10328"
"2017_07","18","","","184","","4","715","0","","0","504","2052","","","","42","","6","","","","152","","6","118","4","9","","918","39","2","","393","20","","99","23","","","","","91","","","","","819","3","857","8","","","","","1159","18","19","39","375","695","198","67","636","10292"
"2017_08","18","","","203","","18","828","11","","8","680","2273","","","","39","","1","","","","185","","5","137","3","34","","1108","52","0","","481","30","","75","21","","","","","163","","","","","919","5","1041","10","","","","","1200","27","39","28","413","834","234","46","752","11921"
"2017_09","21","","","177","","17","663","2","","1","662","2248","","","","24","","11","","","","205","","9","164","1","26","","1132","57","1","","411","29","","72","19","","","","","231","","","","","750","79","886","12","","","","","925","22","33","32","322","707","183","68","763","10965"
"2017_10","14","","","197","","28","781","6","","1","634","2577","","","","20","","7","","","","226","","3","220","6","21","","1237","51","0","","583","23","","72","33","","","","","351","","","","","734","66","1185","19","","","","","1057","20","46","33","412","804","222","52","945","12686"
"2017_11","20","","","187","","22","653","1","","6","652","2479","","","","46","","3","","","","247","","5","212","16","23","","1098","47","0","","645","27","","68","40","","","","","303","","","","","953","51","1400","14","","","","","1172","15","28","22","353","756","191","63","620","12438"
"2017_12","15","","","214","","19","559","1","","1","706","2351","","","","21","","5","","","","229","","5","233","8","18","","1015","43","1","","572","41","","52","21","","","","","235","","","","","628","33","1038","19","","","","","1036","13","36","26","323","701","172","57","541","10988"
"2018_01","21","1","22","","","","807","0","0","","","3503","1","690","","3","0","0","932","363","","","","7","","","22","0","1357","14","0","0","","21","93","","33","0","0","0","0","5","914","61","0","842","","","1871","15","0","1166","0","36","","","","48","335","851","234","77","673","15018"
"2018_02","12","1","16","","","","632","2","0","","","2526","1","513","","0","0","2","526","224","","","","3","","","22","1","1197","17","0","0","","21","97","","26","0","0","0","0","2","675","40","0","702","","","1044","4","0","822","0","26","","","","14","301","679","165","47","572","10932"
"2018_03","24","2","25","","","","824","0","0","","","2441","0","527","","0","0","1","658","227","","","","4","","","17","2","1457","16","0","2","","22","114","","36","0","0","0","0","3","771","43","0","682","","","1175","134","0","991","0","18","","","","28","303","777","192","71","751","12338"
"2018_04","12","0","50","","","","743","1","0","","","2567","0","526","","0","0","1","676","186","","","","4","","","26","5","1330","32","1","11","","18","128","","35","0","0","0","0","7","647","80","0","798","","","1311","27","0","984","0","16","","","","30","269","757","183","84","765","12310"
"2018_05","13","6","34","","","","910","3","0","","","2582","0","594","","0","0","7","772","210","","","","1","","","23","1","1225","44","4","9","","23","119","","38","0","0","0","0","7","746","65","1","1307","","","1337","15","0","722","0","12","","","","45","293","887","250","88","1045","13438"
"2018_06","14","5","56","","","","618","1","0","","","2078","1","417","","0","0","4","388","160","","","","3","","","19","1","1031","40","1","15","","15","104","","38","0","0","0","0","6","624","23","2","787","","","943","8","0","696","0","11","","","","43","222","648","165","80","763","10030"
"2018_07","14","2","18","","","","709","2","0","","","2551","0","413","","0","0","1","409","168","","","","2","","","23","1","1172","31","1","5","","28","118","","37","1","0","0","0","8","612","7","0","825","","","998","8","0","585","0","24","","","","31","243","767","243","67","864","10988"
"2018_08","20","2","24","","","","590","2","0","","","2226","0","405","","1","0","4","482","157","","","","9","","","18","1","1107","18","0","4","","25","108","","32","2","3","0","0","2","694","39","0","710","","","995","4","0","569","0","11","","","","32","213","734","186","64","773","10266"
"2018_09","20","2","24","","","","590","2","0","","","2226","0","405","","1","0","4","482","157","","","","9","","","18","1","1107","18","0","4","","25","108","","32","2","3","0","0","2","694","39","0","710","","","995","4","0","569","0","11","","","","32","213","734","186","64","773","10266"
"2018_10","15","1","14","","","","733","5","0","","","2577","0","439","","0","0","3","572","182","","","","7","","","19","1","1321","27","1","2","","21","118","","38","0","0","1","0","5","669","48","0","740","","","1390","7","0","618","0","16","","","","32","198","797","202","62","1053","11934"
"2018_11","32","2","9","","","","487","5","0","","","2378","0","376","","1","0","3","518","183","","","","7","","","17","2","1177","16","0","1","","9","115","","41","0","0","0","0","4","703","35","0","510","","","1165","7","0","628","0","18","","","","20","248","694","173","49","712","10345"
"2018_12","19","4","56","","","","417","2","0","","","2208","1","365","","0","0","2","528","133","","","","3","","","14","3","944","15","0","0","","8","110","","27","0","0","0","0","1","641","20","0","421","","","846","7","0","587","0","15","","","","19","218","665","169","33","584","9085"
"2019_01","15","7","99","","","","607","3","0","","","3280","0","510","","0","0","4","920","241","0","","","5","","","18","0","1301","19","1","1","","22","180","","35","0","0","0","0","4","819","50","2","617","","","1785","10","0","865","0","26","","","","31","265","921","245","65","778","13751"
"2019_02","22","9","27","","","","533","3","0","","","2563","0","383","","0","0","1","493","191","0","","","7","","","12","1","1120","14","1","1","","16","159","","45","0","0","0","0","4","692","43","0","596","","","991","7","0","612","0","16","","","","29","226","724","176","58","669","10444"
"2019_03","23","3","45","","","","568","4","0","","","2570","0","363","","0","0","0","759","194","0","","","11","","","18","1","1415","24","1","2","","18","161","","69","0","0","0","0","2","645","60","0","638","","","1202","11","0","677","0","8","","","","31","268","799","223","72","789","11674"
"2019_04","22","9","46","","","","558","6","0","","","2467","0","439","","0","1","2","688","232","0","","","7","","","24","0","1176","29","4","8","","14","135","","67","0","1","0","0","2","712","45","0","709","","","1120","7","0","654","0","32","","","","37","239","800","232","78","776","11378"
"2019_05","10","4","34","","","","617","3","0","","","2699","0","469","","1","0","2","794","154","0","","","5","","","19","0","1172","27","6","12","","29","146","","63","0","0","0","0","2","706","123","2","928","","","1338","15","0","627","0","12","","","","30","244","872","269","59","929","12422"
"2019_06","12","4","21","","","","540","1","0","","","2206","1","404","","1","0","3","410","145","0","","","5","","","18","0","959","23","1","42","","16","145","","59","0","0","0","0","10","562","24","5","732","","","961","13","0","653","0","1","","","","28","240","703","227","54","839","10068"
"2019_07","17","67","21","","","","607","1","0","","","2400","0","473","","0","0","3","443","240","0","","","3","","","22","0","939","30","1","30","","19","168","","57","0","1","0","0","6","700","13","9","888","","","900","6","0","593","0","8","","","","57","234","783","285","52","929","11005"
"2019_08","3","14","20","","","","496","0","0","","","1903","0","326","","0","0","0","369","128","0","","","6","","","36","1","751","34","0","32","","13","128","","30","0","0","0","0","4","506","2","1","698","","","1079","3","0","327","0","2","","","","49","202","627","203","61","868","8922"
"2019_09","10","11","16","","","","366","0","0","","","1563","0","260","","1","0","1","1863","146","2","","","11","","","14","1","774","29","1","7","","13","86","","23","0","1","0","0","2","509","49","3","520","","","1191","4","0","287","0","1","","","","45","156","625","214","42","721","9568"
